YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DataValueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,Geolocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2021,2021,ND,North Dakota,PRAMS,Social Determinants of Health,Health insurance coverage after pregnancy among women with a recent live birth,%,Crude Prevalence,80.8,80.8,,,70.6,88.0,Race/Ethnicity,"Black, non-Hispanic",POINT (-100.11842104899966 47.47531977900047),38,SDOH,SDH11,CRDPREV,RACE,BLK
2020,2020,KS,Kansas,NVSS,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",Number,Number,31.0,31.0,,,,,Age,Age 45-64,POINT (-98.20078122699965 38.34774030000045),20,DIA,DIA04,NMBR,AGE,AGE4564
2020,2020,NJ,New Jersey,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults,%,Crude Prevalence,26.2,26.2,,,23.9,28.6,Age,Age >=65,POINT (-74.27369128799967 40.13057004800049),34,NPAW,NPW14,CRDPREV,AGE,AGE65P
2019,2019,TN,Tennessee,BRFSS,Disability,Adults with any disability,%,Age-adjusted Prevalence,34.6,34.6,,,25.4,45.0,Race/Ethnicity,Hispanic,POINT (-85.77449091399967 35.68094058000048),47,DIS,DIS01,AGEADJPREV,RACE,HIS
2019,2019,AR,Arkansas,BRFSS,Diabetes,Diabetes among adults,%,Crude Prevalence,13.6,13.6,,,12.1,15.2,Sex,Female,POINT (-92.27449074299966 34.74865012400045),5,DIA,DIA01,CRDPREV,SEX,SEXF
2019,2019,MO,Missouri,YRBSS,"Nutrition, Physical Activity, and Weight Status",Consumed fruit less than one time daily among high school students,%,Crude Prevalence,5.7,5.7,,,3.3,9.7,Sex,Female,POINT (-92.56630005299968 38.635790776000476),29,NPAW,NPW01,CRDPREV,SEX,SEXF
2021,2021,ND,North Dakota,BRFSS,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,63.6,63.6,,,50.7,74.9,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",POINT (-100.11842104899966 47.47531977900047),38,CVD,CVD02,CRDPREV,RACE,AIAN
2019,2020,UT,Utah,BRFSS,Cognitive Health and Caregiving,Provided care for someone with dementia or other cognitive impairment in the past month among adults,%,Age-adjusted Prevalence,24.5,24.5,,,20.2,29.3,Sex,Female,POINT (-111.58713063499971 39.360700171000474),49,CHC,CHC03,AGEADJPREV,SEX,SEXF
2020,2020,OR,Oregon,BRFSS,Alcohol,Binge drinking frequency among adults who binge drink,Number,Crude 75th percentile,3.8,3.8,,,3.4,4.4,Race/Ethnicity,"White, non-Hispanic",POINT (-120.15503132599969 44.56744942400047),41,ALC,ALC04,CRD75TH,RACE,WHT
2022,2022,WA,Washington,BRFSS,Health Status,2 or more chronic conditions among adults,%,Age-adjusted Prevalence,19.9,19.9,,,11.8,31.5,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",POINT (-120.47001078999972 47.52227862900048),53,HEA,HEA05,AGEADJPREV,RACE,HAPI
2021,2021,NY,New York,BRFSS,Social Determinants of Health,Routine checkup within the past year among adults,%,Crude Prevalence,91.2,91.2,,,90.1,92.1,Age,Age >=65,POINT (-75.54397042699964 42.82700103200045),36,SDOH,SDH12,CRDPREV,AGE,AGE65P
2019,2019,OH,Ohio,BRFSS,Alcohol,Binge drinking intensity among adults who binge drink,Number,Crude Median,7.0,7.0,,,6.4,7.4,Sex,Male,POINT (-82.40426005599966 40.06021014100048),39,ALC,ALC05,CRDMEDN,SEX,SEXM
2021,2021,AL,Alabama,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,51.4,51.4,,,49.0,53.8,Sex,Female,POINT (-86.63186076199969 32.84057112200048),1,CVD,CVD07,AGEADJRATE,SEX,SEXF
2019,2019,GA,Georgia,BRFSS,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,66.7,66.7,,,63.6,69.6,Overall,Overall,POINT (-83.62758034599966 32.83968109300048),13,ART,ART06,CRDPREV,OVERALL,OVR
2022,2022,GA,Georgia,BRFSS,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults,%,Crude Prevalence,20.0,20.0,,,18.3,21.8,Sex,Male,POINT (-83.62758034599966 32.83968109300048),13,NPAW,NPW06,CRDPREV,SEX,SEXM
2019,2019,KY,Kentucky,YRBSS,"Nutrition, Physical Activity, and Weight Status",Consumed fruit less than one time daily among high school students,%,Crude Prevalence,8.0,8.0,,,5.8,10.9,Grade,Grade 11,POINT (-84.77497104799966 37.645970271000465),21,NPAW,NPW01,CRDPREV,GRADE,GRD11
2022,2022,OK,Oklahoma,BRFSS,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,13.1,13.1,,,11.8,14.6,Race/Ethnicity,"White, non-Hispanic",POINT (-97.52107021399968 35.47203135600046),40,ALC,ALC06,CRDPREV,RACE,WHT
2022,2022,GU,Guam,BRFSS,Disability,Adults with any disability,%,Crude Prevalence,31.3,31.3,,,27.3,35.5,Overall,Overall,POINT (144.793731 13.444304),66,DIS,DIS01,CRDPREV,OVERALL,OVR
2019,2019,MN,Minnesota,BRFSS,Health Status,Average recent physically unhealthy days among adults,Number,Crude Mean,2.7,2.7,,,1.8,3.5,Race/Ethnicity,"Asian, non-Hispanic",POINT (-94.79420050299967 46.35564873600049),27,HEA,HEA02,CRDMEAN,RACE,ASN
2021,2021,ME,Maine,BRFSS,Health Status,Fair or poor self-rated health status among adults,%,Crude Prevalence,14.8,14.8,,,13.9,15.8,Overall,Overall,POINT (-68.98503133599962 45.254228894000505),23,HEA,HEA01,CRDPREV,OVERALL,OVR
2021,2021,IL,Illinois,BRFSS,Health Status,Recent activity limitation among adults,Number,Age-adjusted Mean,2.6,2.6,,,2.2,2.9,Race/Ethnicity,"White, non-Hispanic",POINT (-88.99771017799969 40.48501028300046),17,HEA,HEA04,AGEADJMEAN,RACE,WHT
2021,2021,GA,Georgia,BRFSS,Immunization,Influenza vaccination among adults 18â€“64 who are at increased risk,%,Age-adjusted Prevalence,41.2,41.2,,,35.4,47.3,Race/Ethnicity,"White, non-Hispanic",POINT (-83.62758034599966 32.83968109300048),13,IMM,IMM02,AGEADJPREV,RACE,WHT
2021,2021,WA,Washington,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,52.8,52.8,,,50.8,54.7,Age,Age >=65,POINT (-120.47001078999972 47.52227862900048),53,CVD,CVD03,CRDPREV,AGE,AGE65P
2019,2019,UT,Utah,BRFSS,Arthritis,Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis,%,Crude Prevalence,15.5,15.5,,,9.5,24.1,Race/Ethnicity,Hispanic,POINT (-111.58713063499971 39.360700171000474),49,ART,ART07,CRDPREV,RACE,HIS
2018,2019,UT,Utah,NSCH,Oral Health,Visited dentist or other oral health care provider in the past 12 months among children and adolescents aged 1-17 years,%,Crude Prevalence,94.3,94.3,,,90.7,96.5,Age,Age 6-11,POINT (-111.58713063499971 39.360700171000474),49,ORH,ORH04,CRDPREV,AGE,AGE6_11
2022,2022,AK,Alaska,BRFSS,Cancer,Colorectal cancer screening among adults aged 45-75 years,%,Crude Prevalence,56.2,56.2,,,53.8,58.6,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),2,CAN,CAN06,CRDPREV,OVERALL,OVR
2015,2019,NV,Nevada,US Cancer DVT,Cancer,"Lung and bronchial cancer mortality among all people, underlying cause","per 100,000",Crude Rate,29.6,29.6,,,26.9,32.5,Race/Ethnicity,"Black, non-Hispanic",POINT (-117.07184056399967 39.493240390000494),32,CAN,CAN04,CRDRATE,RACE,BLK
2021,2022,ID,Idaho,BRFSS,Cognitive Health and Caregiving,Subjective cognitive decline among adults aged 45 years and older,%,Crude Prevalence,10.9,10.9,,,9.7,12.3,Race/Ethnicity,"White, non-Hispanic",POINT (-114.3637300419997 43.682630005000476),16,CHC,CHC01,CRDPREV,RACE,WHT
2019,2019,SC,South Carolina,BRFSS,"Nutrition, Physical Activity, and Weight Status",Consumed fruit less than one time daily among adults,%,Age-adjusted Prevalence,43.3,43.3,,,41.2,45.4,Race/Ethnicity,"White, non-Hispanic",POINT (-81.04537120699968 33.998821303000454),45,NPAW,NPW02,AGEADJPREV,RACE,WHT
2022,2022,CO,Colorado,BRFSS,Immunization,Pneumococcal vaccination among adults aged 18â€“64 years who are at increased risk,%,Crude Prevalence,29.1,29.1,,,25.0,33.6,Age,Age 18-44,POINT (-106.13361092099967 38.843840757000464),8,IMM,IMM03,CRDPREV,AGE,AGE1844
2018,2019,NV,Nevada,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,28.6,28.6,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,15.3,47.1,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-117.07184056399967 39.493240390000494),32,NPAW,NPW07,CRDPREV,RACE,MRC
2020,2020,PA,Pennsylvania,BRFSS,Health Status,2 or more chronic conditions among adults,%,Crude Prevalence,4.9,4.9,,,3.8,6.3,Age,Age 18-44,POINT (-77.86070029399963 40.79373015200048),42,HEA,HEA05,CRDPREV,AGE,AGE1844
2021,2021,WA,Washington,PRAMS,Maternal Health,Postpartum checkup among women with a recent live birth,%,Crude Prevalence,88.1,88.1,,,82.3,92.2,Race/Ethnicity,"Black, non-Hispanic",POINT (-120.47001078999972 47.52227862900048),53,MAT,MAT01,CRDPREV,RACE,BLK
2020,2021,US,United States,NSCH,Oral Health,Receipt of evidence-based preventive dental services in the past 12 months among children and adolescents aged 1-17 years,%,Crude Prevalence,47.7,47.7,,,46.5,49.0,Age,Age 12-17,,59,ORH,ORH05,CRDPREV,AGE,AGE1217
2019,2019,MT,Montana,BRFSS,Health Status,Average recent physically unhealthy days among adults,Number,Crude Mean,5.0,5.0,,,3.2,6.8,Race/Ethnicity,Hispanic,POINT (-109.42442064499971 47.06652897200047),30,HEA,HEA02,CRDMEAN,RACE,HIS
2019,2019,MI,Michigan,BRFSS,Immunization,Pneumococcal vaccination among adults aged 18â€“64 years who are at increased risk,%,Age-adjusted Prevalence,34.0,34.0,,,30.1,38.1,Sex,Female,POINT (-84.71439026999968 44.6613195430005),26,IMM,IMM03,AGEADJPREV,SEX,SEXF
2021,2021,MD,Maryland,NVSS,Alcohol,"Chronic liver disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,11.9,11.9,,,10.7,13.0,Race/Ethnicity,"White, non-Hispanic",POINT (-76.60926011099963 39.29058096400047),24,ALC,ALC09,AGEADJRATE,RACE,WHT
2021,2021,CO,Colorado,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Age-adjusted Prevalence,22.8,22.8,,,14.1,34.7,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",POINT (-106.13361092099967 38.843840757000464),8,CVD,CVD03,AGEADJPREV,RACE,AIAN
2019,2019,VA,Virginia,NVSS,Chronic Obstructive Pulmonary Disease,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Crude Rate,44.9,44.9,,,42.1,47.7,Age,Age 45-64,POINT (-78.45789046299967 37.54268067400045),51,COPD,COPD06,CRDRATE,AGE,AGE4564
2021,2021,NV,Nevada,BRFSS,Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,19.0,19.0,,,11.8,29.0,Age,Age >=65,POINT (-117.07184056399967 39.493240390000494),32,COPD,COPD02,CRDPREV,AGE,AGE65P
2019,2019,MN,Minnesota,BRFSS,Social Determinants of Health,Routine checkup within the past year among adults,%,Age-adjusted Prevalence,66.9,66.9,,,65.5,68.2,Sex,Male,POINT (-94.79420050299967 46.35564873600049),27,SDOH,SDH12,AGEADJPREV,SEX,SEXM
2020,2020,NH,New Hampshire,BRFSS,Tobacco,Current cigarette smoking among adults,%,Crude Prevalence,15.1,15.1,,,8.5,25.3,Race/Ethnicity,Hispanic,POINT (-71.50036091999965 43.65595011300047),33,TOB,TOB04,CRDPREV,RACE,HIS
2022,2022,WV,West Virginia,BRFSS,Arthritis,Arthritis among adults,%,Crude Prevalence,44.3,44.3,,,42.1,46.5,Sex,Female,POINT (-80.71264013499967 38.66551020200046),54,ART,ART01,CRDPREV,SEX,SEXF
2019,2019,OR,Oregon,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,29.5,29.5,,,21.8,39.0,Race/Ethnicity,"Asian, non-Hispanic",POINT (-120.15503132599969 44.56744942400047),41,CVD,CVD08,AGEADJRATE,RACE,ASN
2020,2020,US,United States,NVSS,Diabetes,"Diabetes mortality among all people, underlying or contributing cause","cases per 100,000",Crude Rate,156.3,156.3,,,146.4,166.2,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,59,DIA,DIA03,CRDRATE,RACE,HAPI
2019,2019,SC,South Carolina,NVSS,Diabetes,"Diabetes mortality among all people, underlying or contributing cause","cases per 100,000",Crude Rate,28.5,28.5,,,18.6,41.7,Race/Ethnicity,"Asian, non-Hispanic",POINT (-81.04537120699968 33.998821303000454),45,DIA,DIA03,CRDRATE,RACE,ASN
2021,2021,SD,South Dakota,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,141.6,141.6,,,125.5,157.6,Age,Age 45-64,POINT (-100.3735306369997 44.353130053000484),46,CVD,CVD09,CRDRATE,AGE,AGE4564
2021,2021,CT,Connecticut,BRFSS,Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,18.9,18.9,,,12.0,28.5,Age,Age >=65,POINT (-72.64984095199964 41.56266102000046),9,COPD,COPD02,CRDPREV,AGE,AGE65P
2019,2019,CA,California,BRFSS,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,%,Age-adjusted Prevalence,47.8,47.8,,,42.0,53.7,Overall,Overall,POINT (-120.99999953799971 37.63864012300047),6,ART,ART04,AGEADJPREV,OVERALL,OVR
2019,2020,VA,Virginia,BRFSS,Cognitive Health and Caregiving,Provided care for a friend or family member in the past month among adults,%,Age-adjusted Prevalence,18.0,18.0,,,12.2,25.6,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-78.45789046299967 37.54268067400045),51,CHC,CHC04,AGEADJPREV,RACE,MRC
2021,2021,AZ,Arizona,BRFSS,Social Determinants of Health,Lack of health insurance among adults aged 18-64 years,%,Crude Prevalence,23.9,23.9,,,21.3,26.8,Race/Ethnicity,Hispanic,POINT (-111.76381127699972 34.865970280000454),4,SDOH,SDH09,CRDPREV,RACE,HIS
2020,2020,AR,Arkansas,BRFSS,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults,%,Crude Prevalence,28.1,28.1,,,19.4,38.9,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-92.27449074299966 34.74865012400045),5,NPAW,NPW06,CRDPREV,RACE,MRC
2022,2022,MO,Missouri,BRFSS,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,5.7,5.7,,,4.6,7.2,Age,Age >=65,POINT (-92.56630005299968 38.635790776000476),29,ALC,ALC06,CRDPREV,AGE,AGE65P
2022,2022,WV,West Virginia,BRFSS,Mental Health,Depression among adults,%,Crude Prevalence,40.3,40.3,,,25.2,57.5,Race/Ethnicity,Hispanic,POINT (-80.71264013499967 38.66551020200046),54,MEN,MEN02,CRDPREV,RACE,HIS
2021,2021,NM,New Mexico,NVSS,Alcohol,"Chronic liver disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,41.1,41.1,,,38.4,43.9,Overall,Overall,POINT (-106.24058098499967 34.52088095200048),35,ALC,ALC09,AGEADJRATE,OVERALL,OVR
2019,2019,MD,Maryland,BRFSS,Mental Health,Frequent mental distress among adults,%,Age-adjusted Prevalence,6.6,6.6,,,3.9,10.8,Race/Ethnicity,"Asian, non-Hispanic",POINT (-76.60926011099963 39.29058096400047),24,MEN,MEN05,AGEADJPREV,RACE,ASN
2022,2022,WV,West Virginia,BRFSS,Health Status,Average recent physically unhealthy days among adults,Number,Crude Mean,5.6,5.6,,,5.3,6.0,Overall,Overall,POINT (-80.71264013499967 38.66551020200046),54,HEA,HEA02,CRDMEAN,OVERALL,OVR
2021,2021,NY,New York,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,11.0,11.0,,,10.2,11.9,Age,Age 18-44,POINT (-75.54397042699964 42.82700103200045),36,CVD,CVD01,CRDPREV,AGE,AGE1844
2020,2020,VT,Vermont,BRFSS,Mental Health,Depression among adults,%,Age-adjusted Prevalence,29.6,29.6,,,27.1,32.2,Sex,Female,POINT (-72.51764079099962 43.62538123900049),50,MEN,MEN02,AGEADJPREV,SEX,SEXF
2020,2020,NE,Nebraska,BRFSS,Asthma,Current asthma among adults,%,Crude Prevalence,18.5,18.5,,,10.5,30.5,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",POINT (-99.36572062299967 41.6410409880005),31,AST,AST02,CRDPREV,RACE,AIAN
2020,2020,MD,Maryland,BRFSS,Social Determinants of Health,Routine checkup within the past year among adults,%,Crude Prevalence,67.7,67.7,,,65.7,69.6,Age,Age 18-44,POINT (-76.60926011099963 39.29058096400047),24,SDOH,SDH12,CRDPREV,AGE,AGE1844
2019,2019,UT,Utah,BRFSS,Alcohol,Binge drinking prevalence among adults,%,Age-adjusted Prevalence,8.0,8.0,,,7.0,9.0,Sex,Female,POINT (-111.58713063499971 39.360700171000474),49,ALC,ALC06,AGEADJPREV,SEX,SEXF
2019,2019,IL,Illinois,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",Number,Number,27.0,27.0,,,,,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-88.99771017799969 40.48501028300046),17,CVD,CVD08,NMBR,RACE,MRC
2022,2022,MI,Michigan,BRFSS,Oral Health,Six or more teeth lost among adults aged 65 years and older,%,Age-adjusted Prevalence,29.6,29.6,,,26.8,32.5,Sex,Male,POINT (-84.71439026999968 44.6613195430005),26,ORH,ORH02,AGEADJPREV,SEX,SEXM
2021,2021,NE,Nebraska,NVSS,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Number,Number,2788.0,2788.0,,,,,Overall,Overall,POINT (-99.36572062299967 41.6410409880005),31,DIA,DIA03,NMBR,OVERALL,OVR
2020,2020,KS,Kansas,BRFSS,Tobacco,Current cigarette smoking among adults,%,Age-adjusted Prevalence,16.4,16.4,,,15.4,17.6,Race/Ethnicity,"White, non-Hispanic",POINT (-98.20078122699965 38.34774030000045),20,TOB,TOB04,AGEADJPREV,RACE,WHT
2021,2021,AZ,Arizona,CMS Part A Claims Data,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older",Number,Number,6199.0,6199.0,,,,,Sex,Male,POINT (-111.76381127699972 34.865970280000454),4,CVD,CVD06,NMBR,SEX,SEXM
2021,2021,CO,Colorado,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",Number,Number,36.0,36.0,,,,,Age,Age 0-44,POINT (-106.13361092099967 38.843840757000464),8,CVD,CVD07,NMBR,AGE,AGE0_44
2019,2019,ND,North Dakota,BRFSS,Tobacco,Quit attempts in the past year among adult current smokers,%,Crude Prevalence,61.6,61.6,,,53.9,68.7,Age,Age 18-44,POINT (-100.11842104899966 47.47531977900047),38,TOB,TOB06,CRDPREV,AGE,AGE1844
2021,2021,DC,District of Columbia,PRAMS,Social Determinants of Health,Health insurance coverage in the month before pregnancy among women with a recent live birth,%,Crude Prevalence,97.3,97.3,,,92.0,99.1,Race/Ethnicity,"Black, non-Hispanic",POINT (-77.036871 38.907192),11,SDOH,SDH10,CRDPREV,RACE,BLK
2022,2022,NC,North Carolina,BRFSS,Sleep,Short sleep duration among adults,%,Crude Prevalence,34.6,34.6,,,32.0,37.4,Sex,Male,POINT (-79.15925046299964 35.466220975000454),37,SLEP,SLP03,CRDPREV,SEX,SEXM
2019,2019,FL,Florida,BRFSS,Arthritis,Physical inactivity among adults with arthritis,%,Age-adjusted Prevalence,27.2,27.2,,,22.6,32.4,Race/Ethnicity,"White, non-Hispanic",POINT (-81.92896053899966 28.932040377000476),12,ART,ART05,AGEADJPREV,RACE,WHT
2019,2019,SC,South Carolina,NVSS,Alcohol,"Chronic liver disease mortality among all people, underlying cause",Number,Number,342.0,342.0,,,,,Age,Age >=65,POINT (-81.04537120699968 33.998821303000454),45,ALC,ALC09,NMBR,AGE,AGE65P
2021,2021,US,United States,NVSS,Alcohol,"Chronic liver disease mortality among all people, underlying cause","cases per 100,000",Crude Rate,21.7,21.7,,,21.5,21.9,Sex,Male,,59,ALC,ALC09,CRDRATE,SEX,SEXM
2021,2021,DE,Delaware,NVSS,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",Number,Number,776.0,776.0,,,,,Sex,Male,POINT (-75.57774116799965 39.008830667000495),10,DIA,DIA03,NMBR,SEX,SEXM
2018,2019,HI,Hawaii,NSCH,Oral Health,Visited dentist or other oral health care provider in the past 12 months among children and adolescents aged 1-17 years,%,Crude Prevalence,86.2,86.2,,,79.1,91.2,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-157.85774940299973 21.304850435000446),15,ORH,ORH04,CRDPREV,RACE,MRC
2020,2020,AR,Arkansas,BRFSS,Health Status,Fair or poor self-rated health status among adults,%,Age-adjusted Prevalence,29.5,29.5,,,18.1,44.2,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",POINT (-92.27449074299966 34.74865012400045),5,HEA,HEA01,AGEADJPREV,RACE,AIAN
2020,2020,NV,Nevada,BRFSS,Oral Health,No teeth lost among adults aged 18-64 years,%,Crude Prevalence,61.7,61.7,,,57.3,65.9,Sex,Female,POINT (-117.07184056399967 39.493240390000494),32,ORH,ORH01,CRDPREV,SEX,SEXF
2022,2022,CT,Connecticut,BRFSS,Alcohol,Binge drinking frequency among adults who binge drink,Number,Crude Median,1.5,1.5,,,1.3,1.7,Race/Ethnicity,"White, non-Hispanic",POINT (-72.64984095199964 41.56266102000046),9,ALC,ALC04,CRDMEDN,RACE,WHT
2022,2022,MA,Massachusetts,BRFSS,Social Determinants of Health,"Unable to pay mortgage, rent, or utility bills in the past 12 months among adults",%,Crude Prevalence,9.8,9.8,,,9.0,10.7,Overall,Overall,POINT (-72.08269067499964 42.27687047000046),25,SDOH,SDH05,CRDPREV,OVERALL,OVR
2016,2020,AK,Alaska,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause","per 100,000",Crude Rate,1.7,1.7,,,1.1,2.4,Sex,Female,POINT (-147.72205903599973 64.84507995700051),2,CAN,CAN03,CRDRATE,SEX,SEXF
2021,2021,NE,Nebraska,YRBSS,Alcohol,Alcohol use among high school students,%,Crude Prevalence,28.7,28.7,,,19.3,40.4,Grade,Grade 12,POINT (-99.36572062299967 41.6410409880005),31,ALC,ALC01,CRDPREV,GRADE,GRD12
2021,2021,MT,Montana,BRFSS,Disability,Adults with any disability,%,Crude Prevalence,37.0,37.0,,,30.7,43.8,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",POINT (-109.42442064499971 47.06652897200047),30,DIS,DIS01,CRDPREV,RACE,AIAN
